Ecosystem Name,Type,Count
Norwegian ecosystems,-,1
meadow,terrestrial,3
forest understory,terrestrial,5
natural forests and shrublands,terrestrial,1
Holarctic forests,terrestrial,1
forest ecosystems,terrestrial,45
high-Arctic,terrestrial,1
seabird colony ecosystem,terrestrial,1
rainforest,terrestrial,20
prairie,terrestrial,4
Douglas-fir forest,terrestrial,1
Garry oak ecosystem,terrestrial,1
maritime meadow ecosystem,terrestrial,1
woodland,terrestrial,14
island ecosystem,terrestrial,46
peatland ecosystem,terrestrial,2
mesic woodland,terrestrial,1
streamside woodland,terrestrial,1
-,-,694
island,terrestrial,2
freshwater ecosystem,aquatic,199
marine reserve,marine,1
marine environment,marine,18
Limpopo river system,aquatic,1
aquatic ecosystems,aquatic,93
Alpine lakes,aquatic,2
aquatic environments,aquatic,7
Freshwater ecosystems,aquatic,3
riverine floodplain system,aquatic,1
freshwater,aquatic,140
aquatic,aquatic,38
-,aquatic,69
Waterways,aquatic,1
desert river,aquatic,1
floodplain wetlands,aquatic,2
marine ecosystem,marine,231
river basin ecosystem,aquatic,8
Antarctic marine ecosystem,marine,2
freshwater ecosystems,aquatic,117
aquatic ecosystem,aquatic,143
Mediterranean marine ecosystem,marine,19
lake ecosystem,aquatic,59
marine ecosystems,marine,51
marine realm,marine,3
freshwater realm,aquatic,1
floodplain,aquatic,5
River Thames ecosystem,aquatic,1
wetlands,aquatic,40
rice fields,terrestrial,3
marine protected areas,marine,3
dryland river ecosystems,aquatic,1
EU marine environment,marine,1
river ecosystem,aquatic,33
riverine ecosystem,aquatic,36
high-altitude grasslands,terrestrial,1
freshwater community,aquatic,1
tropical freshwater ecosystem,aquatic,2
Tasmanian freshwater ecosystem,aquatic,1
Eucalyptus and Ageratina adenophora complex system,terrestrial,1
constructed wetlands,aquatic,2
turtle nesting grounds,terrestrial,1
temperate rainforest,terrestrial,3
reef ecosystems,aquatic,1
dryland ecosystem,terrestrial,4
forest,terrestrial,102
temperate freshwater coastal wetlands,aquatic,1
Society Islands Ecosystem,terrestrial,1
dendritic networks,aquatic,1
terrestrial bird assemblages,terrestrial,1
coastal ecosystems,marine,15
British ecosystem,terrestrial,1
tropical savanna,terrestrial,4
wetland,aquatic,33
wild plant ecosystem,terrestrial,1
renosterveld vegetation,terrestrial,1
Biogenic reefs,marine,1
riparian zone ecosystem,terrestrial,1
rocky reefs,marine,1
hilly and woody area,terrestrial,1
wheat ecosystem,terrestrial,1
island ecosystems,terrestrial,30
native communities and ecosystems,marine,1
hybrid zone,aquatic,1
-,terrestrial,103
cloud forest,terrestrial,1
forest ecosystem,terrestrial,108
boreal forest ecosystem,terrestrial,1
aquatic mesocosm ecosystems,aquatic,1
Lake Constance Ecosystem,aquatic,1
subarctic freshwater ecosystems,aquatic,1
estuaries,aquatic,5
climatic niche,aquatic/terrestrial/marine,1
global ecosystem,global,1
Marine Ecosystem,marine,11
coastal marine communities,marine,1
freshwater-marine transition,aquatic,1
estuarine system,aquatic,2
Maritime Antarctic Ecosystem,terrestrial,1
global biological diversity,global,1
British Isles,terrestrial,1
tropical Australia,terrestrial,2
landscape,terrestrial,6
Areas of high conservation value (AHCV),terrestrial,1
global ecosystem,-,7
N/A,-,4
chestnut forest ecosystem,terrestrial,1
terrestrial plant ecosystem,terrestrial,1
marine,marine,141
common garden,terrestrial,5
agricultural areas,terrestrial,2
herbaceous plant community,terrestrial,1
water-limited landscapes,terrestrial,1
ruderal habitat,terrestrial,1
N/A,terrestrial,1
intertidal ecosystem,marine,8
coastal ecosystem,marine,10
tropical rainforest,terrestrial,9
natural ecosystems,terrestrial,30
water-limited ecosystem,terrestrial,2
urban wetland systems,aquatic,1
alpine ecosystem,terrestrial,8
lake ecosystems,aquatic,5
lake–river ecotone,aquatic,1
terrestrial ecosystem,terrestrial,93
tropical urban,terrestrial,1
estuarine ecosystem,aquatic,35
estuary ecology,aquatic,1
temperate forests,terrestrial,5
coastal ecosystem,terrestrial,12
lentic and marine ecosystems,aquatic/marine,1
harbor ecosystem,aquatic,1
old-field ecosystem,terrestrial,1
temperate grassland,terrestrial,2
Hawaiian forest ecosystem,terrestrial,1
common gardens,terrestrial,1
riparian ecosystem,terrestrial,14
native ecosystems,aquatic,1
Arno water system,aquatic,1
Everglades ecosystem,aquatic,4
coastal wetlands,aquatic,10
desert ecosystem,terrestrial,5
savanna,terrestrial,18
sclerophyllous forest,terrestrial,1
coastal ecosystem,aquatic,17
arid-tropical ecosystem,terrestrial,1
large river floodplain,aquatic,2
fluvial network,aquatic,1
aquatic system,aquatic,2
Laurentian Great Lakes coastal wetlands,aquatic,1
Delta ecosystem,aquatic,4
SNP desert ecosystem,terrestrial,1
coral reef,marine,8
European ecosystem,terrestrial,9
rocky reef ecosystem,marine,4
grassland,terrestrial,41
ecosystem_structure,aquatic,1
estuarine ecosystems,aquatic,4
terrestrial,terrestrial,45
riparian,terrestrial,10
Greater Everglades ecosystem,terrestrial,2
marine coastal ecosystem,marine,3
grassland ecosystems,terrestrial,7
indigenous ecosystems,terrestrial,1
production landscapes,terrestrial,2
ecosystem function,-,1
tropical forests,terrestrial,5
native ecosystems,terrestrial,16
invaded ecosystems,-,10
uninvaded ecosystems,-,1
microcosm communities,aquatic,1
animal community,terrestrial,1
mangrove forest,terrestrial,2
grasslands,terrestrial,31
wetland ecosystem,aquatic,30
nature reserves ecosystem,terrestrial,1
common garden ecosystem,terrestrial,2
East African savanna,terrestrial,1
greenhouse ecosystem,terrestrial,4
kelp forest ecosystem,marine,2
benthic ecosystem,aquatic,7
high intertidal ecosystem,marine,1
crop ecosystems,terrestrial,1
island ecosystem,aquatic,1
salt marshes,aquatic,6
tidal wetlands,aquatic,3
agroecosystem,terrestrial,14
ecosystems,-,10
forests,terrestrial,22
Andean headwater river ecosystem,aquatic,1
spring ecosystem,aquatic,1
urban park,terrestrial,1
ecosystem,-,14
Lake Geneva ecosystem,aquatic,1
Galapagos ecosystem,terrestrial,4
local ecosystem at Macubeni,terrestrial,1
temperate coastal ecosystem,marine,3
Lake Erie ecosystem,aquatic,3
Great Lakes ecosystem,aquatic,13
Benthic ecosystem,aquatic,1
Dryland ecosystem,terrestrial,1
agroecosystems,terrestrial,11
agro-ecosystem,terrestrial,8
open-field cultivation ecosystem,terrestrial,1
temperate areas,terrestrial,2
agricultural ecosystem,terrestrial,47
corn-producing regions,terrestrial,1
Large Freshwater Marsh,aquatic,1
riparian system,terrestrial,2
riverine system,aquatic,1
floodplain ecosystem,aquatic/terrestrial,2
