Habitat Name,Type,Ecosystem Type,Count
Norwegian habitats,-,Norwegian ecosystems,1
meadow,terrestrial,-,3
forest understory,terrestrial,-,2
non-woody ecosystems,terrestrial,-,1
oak forests,terrestrial,forest ecosystems,1
bird cliffs,terrestrial,high-Arctic,1
areas of human activity,terrestrial,high-Arctic,1
seabird nesting sites,terrestrial,seabird colony ecosystem,1
rainforest plantings,terrestrial,rainforest,1
native prairie remnant,terrestrial,prairie,1
deep-soil habitats,terrestrial,-,1
shallow-soil habitats,terrestrial,-,1
forest overstorey,terrestrial,woodland,1
Pittosporum undulatum canopies,terrestrial,woodland,1
island habitat,terrestrial,island ecosystem,8
lowland raised bogs,terrestrial,peatland ecosystem,1
peatland habitat patches,terrestrial,peatland ecosystem,1
mesic woodland,terrestrial,mesic woodland,1
streamside woodland,terrestrial,streamside woodland,1
common garden,terrestrial,-,7
pollinator habitat,terrestrial,island,1
various habitat types in the UK,aquatic,freshwater ecosystem,1
riffles,aquatic,freshwater ecosystem,1
coastal areas,marine,marine reserve,1
redd,-,-,1
coastal habitats,marine,marine environment,1
lowveld river sections,aquatic,Limpopo river system,1
highveld river sections,aquatic,Limpopo river system,1
headwater streams,aquatic,Limpopo river system,1
River Minho aquatic habitat,aquatic,aquatic ecosystems,1
lakes,aquatic,Alpine lakes,1
backwaters of the Po River,aquatic,Freshwater ecosystems,1
floodplain water bodies,aquatic,riverine floodplain system,1
freshwater,aquatic,freshwater,13
aquatic habitats,aquatic,aquatic ecosystems,2
lentic,aquatic,freshwater,1
lotic,aquatic,freshwater,1
highly artificial,aquatic,freshwater,1
aquatic habitat,aquatic,aquatic,2
ponds,aquatic,-,8
Salmonid spawning habitat,aquatic,Waterways,1
reservoirs,aquatic,desert river,1
stream reaches,aquatic,desert river,1
freshwater lagoons,aquatic,floodplain wetlands,1
freshwater habitats,aquatic,floodplain wetlands,1
saline areas,aquatic,-,1
benthic habitats,marine,marine ecosystem,1
rocky circalittoral habitats,marine,marine ecosystem,1
infralittoral habitats,marine,marine ecosystem,1
main channel,aquatic,freshwater ecosystem,1
side channels,aquatic,freshwater ecosystem,1
tributaries,aquatic,freshwater ecosystem,1
stream habitat,aquatic,river basin ecosystem,1
river channels,aquatic,freshwater ecosystem,1
headwater tributaries,aquatic,freshwater ecosystem,1
near-shore waters,marine,Antarctic marine ecosystem,1
fishless lakes,aquatic,-,1
stocked lakes,aquatic,-,1
urban ponds,aquatic,freshwater ecosystems,1
plankton samples,aquatic,aquatic ecosystem,1
underwater habitats,marine,Mediterranean marine ecosystem,1
freshwater habitat,aquatic,freshwater,14
lowland riverine lakes,aquatic,lake ecosystem,1
dune lakes,aquatic,lake ecosystem,1
springs and subterranean hydrological systems,aquatic,freshwater ecosystems,1
"coral reefs, lagoons and anchialine systems",marine,marine ecosystems,1
breeding habitat,aquatic,freshwater realm,1
feeding habitat,aquatic,marine realm,1
migration corridors,aquatic,-,1
coastal habitats,marine,marine realm,1
rivers and other water bodies,aquatic,freshwater ecosystems,1
freshwater habitat,aquatic,freshwater ecosystem,35
shelf seas,aquatic,marine ecosystem,1
river,aquatic,River Thames ecosystem,1
ponds,aquatic,freshwater ecosystem,3
terrestrial matrix,terrestrial,-,1
streams,aquatic,-,6
rice fields,terrestrial,wetlands,1
wetlands,aquatic,wetlands,10
dryland rivers,aquatic,dryland river ecosystems,1
river sections,aquatic,river ecosystem,1
spawning area,aquatic,riverine ecosystem,1
rivers and streams,aquatic,high-altitude grasslands,1
freshwater habitat,aquatic,freshwater community,1
freshwater habitat,aquatic,river basin ecosystem,1
lentic habitats,aquatic,tropical freshwater ecosystem,1
freshwater habitats,aquatic,Tasmanian freshwater ecosystem,1
estuarine habitats,aquatic,Tasmanian freshwater ecosystem,1
marine habitats,marine,Tasmanian freshwater ecosystem,1
riverine habitat,aquatic,riverine ecosystem,2
Eucalyptus plantation,terrestrial,Eucalyptus and Ageratina adenophora complex system,1
urban drainage ponds,aquatic,constructed wetlands,1
nesting area,terrestrial,turtle nesting grounds,1
forest floor,terrestrial,temperate rainforest,1
benthic communities,marine,marine ecosystem,1
barrens (rocky reefs),marine,marine ecosystem,1
wakame kelp canopy,aquatic,reef ecosystems,1
barren reef habitats,aquatic,reef ecosystems,1
native kelp canopy,aquatic,reef ecosystems,1
habitats at high risk for invasion,terrestrial,dryland ecosystem,1
forest area,terrestrial,forest,1
pelagic zone,aquatic,lake ecosystem,5
demersal zone,aquatic,lake ecosystem,1
wetlands,aquatic,temperate freshwater coastal wetlands,1
-,-,-,635
island habitat,terrestrial,Society Islands Ecosystem,1
native habitats,terrestrial,terrestrial bird assemblages,1
