Relationship Name,Type,Count
ecological interactions,ecological,5
biocontrol effect,ecological,1
experimental field site,physical,1
abundance comparison,ecological,5
invasion extent,ecological,2
defoliation,ecological,8
experimental study,ecological,2
eradication,anthropogenic,7
expansion,ecological,23
colonization,ecological,179
threat,ecological,76
support,ecological,8
grass reinvasion,ecological,1
invasion,ecological,814
keystone species,ecological,2
earthworm impact on forest,ecological,1
earthworm impact on oak ecosystem,ecological,1
earthworm impact on meadow ecosystem,ecological,1
impact,ecological,349
structural modification,ecological,1
structural comparison,physical,1
seabird-derived nutrient deposition,ecological,1
impact of invasive species,ecological,21
recovery of nutrient levels,ecological,1
habitat requirement,ecological,3
habitat resource,ecological,2
historical and current presence,ecological,1
impact of herbicide control,ecological,1
propagule pressure and species richness,ecological,1
proximity to development and species richness,ecological/anthropogenic,1
phylogenetic distance influencing herbivory,ecological,1
heterospecific pollen transfer,ecological,3
fitness differences,ecological,2
pollination,biological,25
disturbance,ecological,7
allelopathic effects,biological,1
competition and disease transmission,ecological,1
invasion impact,ecological,153
introduction of non-native species,ecological,1
impact of shore angling,ecological,1
predation potential,ecological,1
reliance,ecological,1
hybridization and competition exclusion,ecological,1
invasion vulnerability,ecological,4
co-occurrence,ecological,32
contamination during fish stocking,ecological,1
predation and competition,ecological,29
population change,ecological,1
non-correlation,ecological,1
habitat stability,ecological,1
impact of climatic events,ecological,1
displacement and competition,ecological,2
leaf-litter processing,ecological,1
invasion and spread,ecological,32
spread predicted due to global warming,ecological,1
occurrence,ecological,61
susceptibility,ecological,1
comparison of habitat type susceptibility,ecological,1
dispersal,anthropogenic,12
biological suppression,ecological,1
predation,ecological,301
association,ecological,59
impacts,ecological,4
habitat provision,ecological,27
impact,anthropogenic,16
correlation,biological,11
habitat association,biological,3
habitat refuge,biological,1
restriction of invasive spread,physical,1
extirpation,biological,1
host relationship,biological,3
unsuitable host,biological,1
competition,ecological,429
introduction pathway,anthropogenic,45
comparison of zooplankton size and abundance,ecological,1
presence,ecological,144
spread of non-indigenous species,ecological,1
distribution and abundance,ecological,3
introduction of invasive species,anthropogenic,2
behavioral influence,ecological,2
invasion risk,ecological,37
vulnerability assessment,ecological,2
biodiversity decline agent,ecological,1
threatened by habitat loss and degradation,ecological,1
migration challenge,ecological,1
distribution similarity,ecological,2
establishment and spread,ecological,24
native range,biological,35
trait comparison,ecological,8
influence on restoration rate,anthropogenic,1
reconnection,physical,1
host-mediated adverse impact,ecological,1
potential establishment,ecological,9
habitat suitability,ecological,42
nets capture crabs,physical,1
nets release eels,physical,1
pond colonization,ecological,1
facilitation of dispersal,biological,1
rare and costly dispersal,biological,1
predation,biological,177
dietary,biological,1
biotic resistance,ecological,28
impact on native fish biomass,ecological,2
extirpation of river snail,ecological,1
species interaction,ecological,9
predation on eggs or fry,biological,1
impact through trophic levels,ecological,1
trophic interactions,ecological,13
distribution and invasion,ecological,5
impact on species,anthropogenic,1
species introduction effect,ecological,2
fish introduction project,anthropogenic,1
interaction,ecological,52
habitat use,ecological,30
impact of crayfish on invertebrates,ecological,1
biomass_utilization,ecological,1
energy_conversion,physical,1
viability_reduction,biological,1
complex system formation,ecological,1
habitat support,ecological,6
linked,ecological,1
herbivory impact,biological,3
invasion and management,ecological/anthropogenic,1
habitat interaction,ecological,5
threatens,ecological,9
invades,ecological,3
enters through trade,anthropogenic,1
inhibitory effect,ecological,3
regulation,physical,1
regulation,ecological,3
positive relationship,ecological,10
biomass relationship,ecological,1
temperature correlation,physical,1
distance-biomass relationship,ecological,1
replacement,ecological,32
disturbance-reduction of biocrust cover,anthropogenic/ecological,1
site resistance to invasion,ecological,1
prevention of invasion,ecological,1
promotion of native species,ecological,1
driver of invasions,anthropogenic,1
influence,ecological,34
consumer-resource dynamics,ecological,3
planktivory,biological,1
herbivory,biological,30
impact of residence time on nitrogen removal,physical,1
impact of residence time on invasibility,ecological,1
effect of nitrogen loading on invasion success,ecological,1
introduction via trade,anthropogenic,2
seed dispersal,ecological,47
origin and initial spread,ecological,1
invasion,biological,33
influence on colonization dynamics,ecological,1
environmental niche shifts,ecological,1
stable niche,ecological,1
spatial distinctness,ecological,1
impact of climate change,ecological,8
ecological shifts,ecological,1
niche liberation,ecological,1
host-parasite,biological,73
