Species Name,Role,Count
"alien plants, animals, fungi and algae",alien,1
door-knockers,likely to establish,1
vincetoxicum rossicum,invasive,7
hypena opulenta,introduced,1
non-native plants,invasive,7
non-native birds,invasive,1
non-native mammals,invasive,3
native birds,native,7
vascular plants,native/introduced,3
gypsy moth,invasive,1
anthriscus sylvestris,alien,1
taraxacum sect. ruderalia,alien,1
vascular plant species,alien,3
brown boobies,native,1
red-footed boobies,native,1
bridled tern,native,1
brown noddy,native,1
audubon's shearwater,conservation concern,1
goats,invasive,3
rhesus macaques,invasive,1
rats,invasive,11
chloris gayana,invasive,2
eastern redcedar (juniperus virginiana),invasive,1
pasque flowers (anemone patens),native,1
lumbricus,non-native,1
pseudotsuga menziesii,native,4
quercus garryana,native,2
pittosporum undulatum,invasive,2
birds,-,8
grey squirrel,non-native,1
red squirrel,native,1
rodents,-,3
small mammals,-,2
invasive mammals,invasive,6
seabirds,-,1
spiders,-,3
plants,-,9
coenonympha tullia ssp. davus,native,1
erica tetralix,native,2
eriophorum vaginatum,native,1
lonicera maackii,invasive,24
non-native woody plant species,non-native,1
native woody plant species,native,2
quercus spp.,non-native,1
invasive plant species,invasive,55
native plant species 1,native,1
native plant species 2,native,1
ludwigia peploides subsp. montevidensis,invasive,3
thespesia populnea,native,1
polyscias crassa,native,1
syzygium wrightii,native,1
sunbirds,specialist,1
phelsuma geckos,opportunist,1
invasive alien ants,invasive,1
flying insects,native,1
brassica nigra,native/invasive,1
fire ant,invasive,3
austropotamobius pallipes,native,24
pacifastacus leniusculus,introduced/invasive,1
pacifastacus leniusculus,invasive,59
polychaetes,non-native,1
fish,native,10
pacifastacus leniusculus,non-native,3
salmo salar,native,4
mytilus edulis,native,23
oreochromis niloticus,invasive,11
indigenous fish species,native,1
procambarus clarkii,invasive,76
dikerogammarus villosus,invasive,41
dreissena polymorpha,invasive,63
pseudorasbora parva,non-native,5
rutilus rutilus,native,6
silurus glanis,exotic,1
rutilus pigus,native,1
rutilus aula,native,1
chondrostoma soetta,native,1
alburnus arborella,native,1
scardinius erythrophthalmus,native,4
tinca tinca,native,3
cyprinus carpio,exotic,3
ameiurus melas,exotic,1
carassius auratus,exotic,1
hydrilla verticillata,alien,2
neotropical endemic species,native,1
gammarus pulex,native,18
ludwigia grandiflora subsp. hexapetala,invasive,2
water primrose,invasive,1
alien species,alien,115
physella acuta,invasive,2
pseudorasbora parva,invasive,30
esox lucius,native,6
signal crayfish,invasive,18
atlantic salmon,native,4
pseudorasbora parva,introduced,7
alburnus alburnus,introduced,1
atherina boyeri,native,2
lepomis gibbosus,introduced,8
native fish species,native,14
invertebrates,alien,17
freshwater mollusc,native,1
mollusc,native/invasive,1
black bass,invasive,1
micropterus dolomieu,invasive,4
micropterus punctulatus,invasive,1
barbus calidus,native,1
pseudobarbus phlegethon,native,1
margaritifera margaritifera,native,1
brown trout,native,4
brook trout,invasive,1
biofouling organisms,introduced,2
