Publisher,Total Publications
Springer Science and Business Media LLC,11114
Wiley,10411
Elsevier BV,7124
Regional Euro-Asian Biological Invasions Centre Oy (REABIC),2317
Oxford University Press (OUP),1767
Informa UK Limited,1564
Cambridge University Press (CUP),1352
Public Library of Science (PLoS),1143
MDPI AG,926
Pensoft Publishers,807
Pleiades Publishing Ltd,763
Canadian Science Publishing,464
CSIRO Publishing,441
Frontiers Media SA,396
Inter-Research Science Center,378
The Royal Society,362
FapUNIFESP (SciELO),294
University of Chicago Press,285
Walter de Gruyter GmbH,254
Proceedings of the National Academy of Sciences,220
EDP Sciences,210
JSTOR,210
PeerJ,206
American Association for the Advancement of Science (AAAS),155
Brill,150
Hindawi Limited,146
American Society for Microbiology,120
Schweizerbart,99
SAGE Publications,98
Magnolia Press,97
Annual Reviews,89
National Inquiry Services Center (NISC),84
Humboldt Field Research Institute,76
Pacific Science,74
Torrey Botanical Society,69
Academy of Science of South Africa,68
IOP Publishing,68
Michigan State University Press,68
National Documentation Centre (EKT),68
American Chemical Society (ACS),65
Natural Areas Journal,64
Acta Ecologica Sinica,58
Project MUSE,56
Springer Netherlands,53
Japanese Society of Applied Entomology & Zoology,47
"Resilience Alliance, Inc.",47
SciELO Agencia Nacional de Investigacion y Desarrollo (ANID),47
American Library Association,43
Scientific Societies,43
University of Wisconsin Press,43
China Science Publishing & Media Ltd.,42
"Scientific Research Publishing, Inc.",41
South African National Biodiversity Institute,41
University of Notre Dame,41
PAGEPress Publications,40
National Library of Serbia,38
The Company of Biologists,38
Editorial CSIC,37
California Digital Library (CDL),36
Cold Spring Harbor Laboratory,36
Castanea,35
ALOKI Ltd,33
National Shellfisheries Association,33
New England Botanical Club,33
Society for the Study of Amphibians and Reptiles,33
Southwestern Association of Naturalists,33
Biodiversity Science,32
Copernicus GmbH,32
American Society of Parasitologists,31
American Geophysical Union (AGU),30
American Society of Ichthyologists and Herpetologists (ASIH),30
The Scientific and Technological Research Council of Turkey (TUBITAK-ULAKBIM) - DIGITAL COMMONS JOURNALS,30
American Society for Horticultural Science,29
University of Florida George A Smathers Libraries,29
Museum and Institute of Zoology at the Polish Academy of Sciences,28
Uniwersytet Gdanski,28
Elsevier,27
Springer International Publishing,27
International Society for Horticultural Science (ISHS),26
A.N.Severtsov Institute of Ecology and Evolution RAS  - IEE RAS,25
Coastal Education and Research Foundation,25
Mary Ann Liebert Inc,25
American Institute of Mathematical Sciences (AIMS),24
"Biology Centre, AS CR",24
Sciencedomain International,24
AOSIS,23
Fondazione Pro Herbario Mediterraneo,23
Science Alert,23
UNS Solo,23
Western North American Naturalist,23
Italian Society of Sivilculture and Forest Ecology (SISEF),22
Northwest Scientific Association,22
Academic Journals,21
African Journals Online (AJOL),21
Cellule MathDoc/Centre Mersenne,21
Coleopterists Society,21
Egypts Presidential Specialized Council for Education and Scientific Research,21
Entomological Society of Washington,21
Microbiology Society,21
Ovid Technologies (Wolters Kluwer Health),21
Universidad Nacional Autonoma de Mexico,21
University of California Press,21
Instytut Oceanologii PAN,20
Japanese Society of Fisheries Science,20
Agentschap Plantentuin Meise,19
Bogucki Wydawnictwo Naukowe,19
Nepal Journals Online (JOL),19
The Japanese Society of Revegetation Technology,19
American Entomological Society,18
Centers for Disease Control and Prevention (CDC),18
Institute of Electrical and Electronics Engineers (IEEE),18
New Zealand Ecological Society,18
The University of Kansas,18
Asociacion Espanola de Ecologia Terrestre (AEET),17
OMICS Publishing Group,17
US Geological Survey,17
Victoria University of Wellington Library,17
Zoological Society of Japan,17
Polish Botanical Society,16
Royal Society of Chemistry (RSC),16
University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca,16
"Botanic Garden and Botanical Museum Berlin, Freie Universitaet Berlin",15
Finnish Zoological and Botanical Publishing Board,15
Institute of Experimental Botany,15
Springer Berlin Heidelberg,15
Sri Lanka Journals Online (JOL),15
U.S. Fish and Wildlife Service,15
Wilson Ornithological Society,15
Diva Enterprises Private Limited,14
"Institute of Vertebrate Biology, Academy of Sciences of the Czech Republic",14
O.I.E (World Organisation for Animal Health),14
Universidad de Costa Rica,14
World Scientific Pub Co Pte Lt,14
Chinese Journal of Plant Ecology,13
Freshwater Biological Association,13
Georg Thieme Verlag KG,13
"Museum National d'Histoire Naturelle, Paris, France",13
Society for Vector Ecology,13
The Ecological Society of Korea,13
Wildlife Disease Association,13
Altai State University,12
Begell House,12
CABI Publishing,12
Kherson State University,12
Royal Swedish Academy of Sciences,12
Wildlife Information Liaison Development Society,12
AIP Publishing,11
California Botanical Society,11
Canadian Center of Science and Education,11
De Gruyter Open,11
Hans Publishers,11
Instituto Nacional de Investigacion y Tecnologia Agraria y Alimentaria (INIA),11
PERSEE Program,11
Royal Zoological Society of New South Wales,11
SPIE-Intl Soc Optical Eng,11
"Trans Tech Publications, Ltd.",11
Bentham Science Publishers Ltd.,10
CABI,10
F1000 Research Ltd,10
Genetics and Molecular Research,10
H1 Connect,10
Oles Honchar Dnipropetrovsk National University,10
Polish Academy of Sciences Chancellery,10
Universidade Estadual de Maringa,10
Adam Mickiewicz University Poznan,9
American Society of Tropical Medicine and Hygiene,9
Asociacion Iberica de Limnologia,9
Bishen Singh Mahendra Pal Singh,9
CRC Press,9
Current Science Association,9
Firenze University Press,9
HARD Publishing Company,9
Hrvatski Prirodoslovno Drustvo (Croatian Society for Natural Sciences),9
International Allelopathy Foundation,9
Japanese Society of Veterinary Science,9
Nature Research Centre -NRC,9
Publishing House Belorusskaya Nauka,9
Rockefeller University Press,9
S. Karger AG,9
University of California Agriculture and Natural Resources (UC ANR),9
American Malacological Society,8
Bulletin of Marine Science,8
Cambridge University Press,8
Canadian Institute of Forestry,8
Centre for Evaluation in Education and Science (CEON/CEES),8
Emerald,8
Helminthological Society,8
Institute for Biodiversity and Ecology,8
Institute of Malacology,8
International Mountain Society (IMS) and United Nations University,8
Liverpool University Press,8
Mammalogical Society of Japan,8
Pakistan Journal of Botany,8
Pontificia Universidad Catolica de Valparaiso,8
Smithsonian Institution,8
Societe entomologique de France,8
Universidade Estadual de Feira de Santana,8
Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University,8
Consorci del Museu de Ciencies Naturals de Barcelona,7
Czech Academy of Agricultural Sciences,7
Czech Botanical Society,7
European Centre for Disease Control and Prevention (ECDC),7
Inderscience Publishers,7
Informatics Publishing Limited,7
International Commission for Plant Pollinator Relations,7
Japan Society of Civil Engineers,7
Medknow,7
"Mycotaxon, Ltd.",7
Norwegian Polar Institute,7
OpenEdition,7
Ornithological Society of Japan,7
Ottawa Field-Naturalists' Club,7
Plantae Scientia,7
"Science China Press., Co. Ltd.",7
Seameo Biotrop,7
Society for Industrial & Applied Mathematics (SIAM),7
Society of Southwestern Entomologists,7
Wydawnictwo Naukowe Gabriel Borowski (WNGB),7
Akademiai Kiado Zrt.,6
Akademizdatcenter Nauka,6
American Arachnological Society,6
American Physical Society (APS),6
American Society of Plant Taxonomists,6
Biodiversity Heritage Library,6
"Central Marine Fisheries Research Institute, Kochi",6
Clemson University,6
Ecology and Civil Engineering Society,6
Finnish Society of Forest Science,6
Herpetological Society of Japan,6
Herpetologists League,6
International Association of Astacology,6
Japanese Institute of Landscape Architecture,6
KMK Scientific Press,6
Kluwer Academic Publishers,6
Korean Society of Environmental Biology,6
"MedCrave Group, LLC",6
Mushroom Research Foundation,6
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka),6
Nikitsky Botanical Gardens National Science Center,6
Now Publishers,6
Oxford University Press,6
Publishing House SB RAS,6
Research Square Platform LLC,6
Science Publishing Group,6
Southern Scientific Center of the Russian Academy of Sciences,6
The American Mosquito Control Association,6
The Japanese Association of Benthology,6
The Pennsylvania State University Press,6
The Plankton Society of Japan/The Japanese Association of Benthology,6
The Weed Science Society of Japan,6
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",6
World Scientific Pub Co Pte Ltd,6
Academy of Sciences and Arts of Bosnia and Herzegovina,5
Acoustical Society of America (ASA),5
AkiNik Publications,5
American Society for Photogrammetry and Remote Sensing,5
Asociacion Argentina de Ecologia,5
"Botanical Sciences, Sociedad Botanica de Mexico, AC",5
Brazilian Herpetological Society,5
Chelonian Conservation and Biology Journal,5
"EM International, Publishers of Quality International Journals",5
Estonian Academy Publishers,5
Gaurav Publications,5
Kansas Entomological Society,5
Korean Society of Limnology,5
NMFS Publications Office,5
Naturalis Biodiversity Center,5
Pacific Coast Entomological Society,5
Pavol Jozef Safarik University in Kosice,5
Pemberley Books (Publishing),5
Soil and Water Conservation Society,5
"Sophia Publishing Group, Inc.",5
South Florida Publishing LLC,5
Systematic and Applied Acarology Society,5
The Society for the Study of Evolution,5
Universidade Federal do Parana,5
University of Ljubljana,5
University of Puerto Rico at Mayaguez,5
University of Sri Jayewardenepura,5
University of Wyoming Libraries,5
AI Publications,4
American Association of Zoo Veterinarians,4
American Society of Clinical Oncology (ASCO),4
Arachnologische Gesellschaft e.v.,4
"Authorea, Inc.",4
BMJ,4
Bangladesh Journals Online (JOL),4
Birkhäuser-Verlag,4
British Herpetological Society,4
"Computers, Materials and Continua (Tech Science Press)",4
EDUFU - Editora da Universidade Federal de Uberlandia,4
Edward Elgar Publishing,4
Excellent Publishers,4
Forest Research Institute,4
Geological Society of America,4
IEEE,4
IOS Press,4
IWA Publishing,4
Institute of Oceanography and Fisheries,4
"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",4
International Society of Arboriculture,4
Iskenderun Technical University,4
Ivyspring International Publisher,4
Japan Section of the Regional Science Association International,4
Journal of Central European Agriculture,4
Journal of Limnology and Freshwater Fisheries Research,4
Karelian Research Centre of the Russian Academy of Sciences,4
Komarov Botanical Institute of the Russian Academy of Sciences,4
Korean Society of Ecology and Infrastructure Engineering,4
MedCrave Group Kft.,4
Oxford University PressOxford,4
Royal Botanical Gardens and Domain Trust,4
Scion,4
Sociedad Entomologica Argentina,4
Sociedad Iberica de Ictiologia,4
Sociedade Brasileira de Quimica (SBQ),4
Springer Japan,4
Springer-Verlag,4
The Arctic Institute of North America,4
The Korea Society of Environmental Restoration Technology,4
The Korean Society of Plant Taxonomists,4
The Korean Society of Weed Science,4
Universidad Nacional de Colombia,4
Universidade Estadual de Londrina,4
Vilnius Gediminas Technical University,4
Waterbird Society,4
Zhejiang University Press,4
"eLife Sciences Publications, Ltd",4
Acta Zoologica Hungarica,3
Agricultural and Food Science,3
American Association for Cancer Research (AACR),3
American Chemical Society,3
American Scientific Publishers,3
American Society of Agricultural and Biological Engineers (ASABE),3
American Society of Civil Engineers (ASCE),3
Ardeola,3
Asociatia Romana de Pteridologie,3
Asosiasi Peneliti dan Teknisi Kehutanan dan Lingkungan Hidup Indonesia,3
Association for Tropical Biology,3
Association for the Advancement of Artificial Intelligence (AAAI),3
BdFISH,3
Belarusian State University,3
Biological Diversity and Conservation,3
Botanikai Kozlemenyek,3
Brazilian Journal of Development,3
CREA - DC,3
Cactus and Succulent Society of America,3
DEStech Publications,3
Edinburgh University Press,3
Edizioni Danaus sas,3
"Euroasian Scientific and Industrial Chamber, Ltd.",3
"Faculty of Forestry, University of Zagreb",3
Forest Research Institute Malaysia,3
Genetics Society of Japan,3
Horticultural Research Institute,3
Hrvatski Sumarski Institut (Croatian Forest Research),3
ICARP FEBRAS,3
IRD Éditions,3
Institute of Agroecology and Environmental Management NAAN,3
Instituto de Investigaciones Oceanologicas,3
Instituto de Pesquisa e Estudos Florestais (IPEF),3
"International Institute for Science, Technology and Education",3
International Union of Crystallography (IUCr),3
Istanbul University,3
Japan Society of Medical Entomology and Zoology,3
Journal of Fisheries,3
Journal of Infection in Developing Countries,3
Juniper Publishers,3
King Abdulaziz University Scientific Publishing Centre,3
Laser Pages Publishing Ltd.,3
Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Lampung,3
Lepidopterists' Society,3
Les Amis d'Acarologia,3
Lithuanian Research Centre for Agriculture and Forestry,3
MIT Press - Journals,3
"Macrothink Institute, Inc.",3
Malaga University,3
Marin Dracea National Research-Development Institute in Forestry,3
Medwin Publishers,3
Museum National D'Histoire Naturelle,3
MyJove Corporation,3
National Academy of Sciences of Ukraine (Co. LTD Ukrinformnauka) (Publications),3
New York Entomological Society,3
New Zealand Plant Protection Society,3
Oecologia Australis,3
Opast Group LLC,3
Oriental Scientific Publishing Company,3
Osterreichische Akademie der Wissenschaften,3
Penerbit Universiti Kebangsaan Malaysia (UKM Press),3
Petrozavodsk State University,3
Portland Press Ltd.,3
Research Information Ltd.,3
ResearchersLinks Ltd,3
Royal Belgian Institute of Natural Sciences (RBINS),3
Sociedad Argentina para el Estudio de los Mamiferos,3
Society of Land Measurements and Cadastre from Transylvania,3
Southern African Wildlife Management Association,3
Spandidos Publications,3
Springer US,3
State Ecology Academy of Postgraduate Education and Management,3
The Apicultural Society of Korea,3
The Japan Society of Tropical Ecology,3
The Japanese Forest Society,3
The Japanese Society of Limnology,3
The Korean Society of Grassland and Forage Science,3
The Korean Society of Phycology,3
Tree-Ring Society,3
Turkish Science and Technology Publishing (TURSTEP),3
Tver State University,3
Universidad Complutense de Madrid (UCM),3
Universidade Estadual da Paraiba/Universidade Federal Rural de Pernambuco (Ethnobiology and Conservation),3
Universidade Federal de Santa Catarina (UFSC),3
Universitas Gadjah Mada,3
Universiti Brunei Darussalam,3
University of Bucharest (Bucharest University Press),3
University of Southern Mississippi,3
"University of Zagreb, Faculty of Science, Department of Biology",3
Water Environment Federation,3
Zoological Institute of the Russian Academy of Sciences,3
ACM,2
AIP,2
AME Publishing Company,2
ANSF Publications,2
ARC Publications Pvt Ltd.,2
Action For Sustainable Efficacious Development and Awareness,2
Adhya Biosciences Pvt. Ltd.,2
Advances in Weed Science,2
African Traditional Herbal Medicine Supporters Initiative (ATHMSI),2
Agricultural Research Communication Center,2
American Fern Society,2
American Medical Association (AMA),2
American Physiological Society,2
"Aquatic Bioresources & Environment, FSBSI VNIRO, Azov-Black Sea Branch of the FSBSI VNIRO (AzNIIRKH)",2
Arab Society for Plant Protection,2
Arachology,2
Asian Australasian Association of Animal Production Societies,2
Australian Museum,2
Beilstein Institut,2
Berghahn Books,2
Beta Beta Biological Society,2
Bilingual Publishing Group,2
BioResources,2
British Cactus and Succulent Society,2
CLOCKSS Archive,2
Ceska zemedelska univerzita v Praze,2
"Charles University in Prague, Karolinum Press",2
Commonwealth Forestry Association,2
Companhia Brasileira de Producao Cientifica,2
Duke University Press,2
ECO-Vector LLC,2
EM International,2
EManuscript Technologies,2
EWA Publishing,2
East African Nature and Science Organization,2
"Editorial Committee of Japanese Journal of Infectious Diseases, National Institute of Infectious Dis",2
Editorial office of the journal Achievements of Science and Technology of the Agro-Industrial Complex,2
Eleyon Publishers,2
Enviro Research Publishers,2
Environmental Health Perspectives,2
Erdkunde,2
