Published Year,Total Publications
1824,1
1836,1
1837,1
1838,1
1841,1
1842,1
1845,1
1847,2
1848,1
1851,2
1855,1
1863,1
1870,1
1871,1
1874,1
1876,2
1878,1
1879,1
1881,2
1887,2
1891,1
1892,1
1895,1
1896,1
1899,1
1906,1
1907,1
1909,1
1911,1
1912,1
1914,2
1917,1
1918,1
1920,1
1922,4
1923,1
1926,1
1930,1
1932,1
1933,2
1934,1
1935,3
1936,4
1937,1
1938,9
1939,1
1940,1
1941,4
1942,1
1943,1
1944,1
1945,1
1946,1
1948,2
1949,3
1950,5
1951,3
1952,1
1953,3
1955,2
1956,3
1958,8
1959,4
1960,4
1961,3
1962,2
1963,6
1964,6
1965,5
1966,5
1967,7
1968,10
1969,8
1970,18
1971,13
1972,7
1973,13
1974,9
1975,10
1976,5
1977,9
1978,9
1979,6
1980,14
1981,20
1982,13
1983,14
1984,26
1985,22
1986,28
1987,44
1988,46
1989,31
1990,54
1991,66
1992,54
1993,75
1994,70
1995,94
1996,118
1997,101
1998,153
1999,178
2000,215
2001,283
2002,372
2003,460
2004,797
2005,1061
2006,1500
2007,1555
2008,1769
2009,2120
2010,2439
2011,2615
2012,2687
2013,2926
2014,3183
2015,3253
2016,3554
2017,3103
2018,2394
2019,2590
2020,2763
2021,2858
2022,2145
2023,1157
2024,107
