hypothesis,publication_id,title,doi,authors,year,abstract,full_text,subjects,topics,journals,publisher
Antarctic climate-diversity-invasion hypothesis,491268386,Invasive species impacts on sub-Antarctic Collembola support the Antarctic climate-diversity-invasion hypothesis,10.1016/j.soilbio.2022.108579,"Chown, Steven L., Bergstrom, Dana M., Houghton, Melissa, Kiefer, Kate, Terauds, Aleks, Leihy, Rachel I.",2022,"The Antarctic climate-diversity-invasion hypothesis (ACDI) predicts that in Antarctic soil systems, climate change should lead to increases in the abundance and diversity of indigenous assemblages. Where biological invasions have occurred, however, invasive alien species should have negative effects on indigenous faunal assemblages. To assess these predictions, we provide the first systematic ecological survey of the Collembola assemblages of pristine, sub-Antarctic Heard Island (53.1°S, 73.5°E) and compare the results to similarly conducted surveys of three other sub-Antarctic islands (Marion, Prince Edward, and Macquarie), characterised by assemblages including invasive Collembola. In particular, we examine differences in densities of three indigenous species (Cryptopygus antarcticus, Mucrosomia caeca, Tullbergia bisetosa) shared between the invaded islands and Heard Island. On average, density of these species was four or more-fold significantly lower on the invaded islands than on uninvaded Heard Island. Yet mean assemblage densities of springtails, accounting for variation among vegetation communities, did not differ substantially or significantly among the islands, suggesting that compensatory dynamics may be a feature of these systems. The invasion impact prediction of the ACDI is therefore supported. On Heard Island, indigenous assemblage variation is strongly related to vegetation community and less so to elevation, in keeping with investigations of Collembola assemblage variation elsewhere across the Antarctic. These findings, in the context of field experimental and physiological data on Collembola from the region, suggest that the climate-diversity predictions of the ACDI will play out in different ways across the Antarctic, depending on whether precipitation increases or decreases as climates change",,text,"Antarctica, Invasion impacts, Neutral theory, Springtail, Turnover",,'Elsevier BV'
Antarctic climate-diversity-invasion hypothesis,484099662,Invaders in waiting? Non-equilibrium in Southern Hemisphere seaweed distributions may lead to underestimation of Antarctic invasion potential,,"Laeseke, Philipp, Martínez, Brezo, Mansilla, Andrés, Bischof, Kai",2021,"Bioinvasions pose a major threat to global biodiversity. Correlative Ecological Niche Models (ENMs) can be a valuable tool to identify invaders and invasion sites. However, in cases when species are in non-equilibrium with their native environment (i.e. do not fill their niche), correlative approaches have limited power and invasions lead to shifts of the realized niche. In recent years, several new seaweed species have been reported in Antarctica. It is impossible to unequivocally identify which of these species are truly non-natives, however, here, we provide literature-based evidence that seaweed species have been introduced to Antarctica. Under this assumption, we reconstruct pre- and post-introduction niches of these species, calculate relative niche sizes and overlap between pre-Antarctic and Antarctic sites, and evaluate increase in niche size due to inclusion of Antarctic habitats. In seven species, the absolute occupied temperature range is dramatically enlarged, with minimum sea surface temperature (SST) being 2-5°C lower than in the pre-Antarctic ranges. In all species except one, summer SST is 5-20°C lower than in the pre-Antarctic ranges. As a result, several species’ niches increase dramatically. We hypothesize that species from the Southern Hemisphere do not cover their whole abiotically suitable range due to lack of settling substrate in cold-water regions while species from the Northern Hemisphere tend to fill their niches to a greater degree due to higher connectivity between tropic and polar regions along coastlines. Thus, while correlative ENMs for Northern Hemisphere species will probably be successful in predicting Antarctica as a suitable habitat, such models will likely be insufficient to do so for Southern Hemisphere species. From a precautionary standpoint, we argue that not only species from climatically matching regions pose an invasion threat for Antarctica, but that also species from other, climatically non-matching regions, might be potential invaders. In light of higher connectivity of the Antarctic continent with other continents this finding significantly increases invasion risk for Antarctica",,article,"barrier, bioinvasions, ecological niche modelling, intertidal, marine, niche shifts, polar, South Shetland Islands, species distribution modelling",,"eScholarship, University of California"
Antarctic climate-diversity-invasion hypothesis,250199036,Barriers to globally invasive species are weakening across the Antarctic,10.1111/ddi.12593,"Duffy, Grant A, Coetzee, Bernard W T, Latombe, Guillaume, Akerman, Alexander H., McGeoch, Melodie A., Chown, Steven L.",2017,"Aim: Biological invasions are a substantial threat to Antarctic biodiversity and a priority conservation policy focus for Antarctic Treaty Parties and the sovereign states of surrounding islands. Key to their strategies is prevention, including assessment of establishment risk for alien species. Despite establishment of some of the worst globally invasive species across the Antarctic region, assessments of establishment potential of these species are non-existent. Here, we address this deficit and determine whether these invasive species constitute a significant conservation threat to the broader Antarctic region both now and in response to future regional climate change. Location: Antarctica and the Southern Ocean islands (45°–90° S). Methods: We used ensemble species distribution models to assess the current and future climate suitability of the Antarctic region for 69 of the worst globally invasive species and 24 insect and plant species that have already established somewhere in the region. Results: The Antarctic continent is unsuitable for all of the worst globally invasive species under current conditions, but areas of the Antarctic Peninsula are predicted to become climatically suitable for up to six globally invasive species within the next century. By contrast, all Southern Ocean islands are presently climatically suitable for additional non-native species, with the threat increasing in the future. Main conclusions: Our findings demonstrate that climate, which is often cited as a key barrier to alien species establishment, may afford some protection to continental Antarctica, but that this protection is not currently extended to the Southern Ocean islands. Furthermore, existing climatic barriers to alien species establishment will weaken as warming continues across the region. This not only illustrates the value of applying distribution modelling methods to this largely ice-covered region, but demonstrates how these methods can be used to inform targeted surveillance of introduction pathways and sites that have the highest risk of establishment of invasive alien species.</p",,article,"Alien species, Biological invasions, Environmental niche, Sub-Antarctic island, Invasive species risk-assessment, species distribution modelling",,
Antarctic climate-diversity-invasion hypothesis,2800672,Continent-wide risk assessment for the establishment of nonindigenous species in Antarctica,10.1073/pnas.1119787109,"Chown, Steven L., Huiskes, Ad H. L., Gremmen, Niek J. M., Lee, Jennifer E., Terauds, Aleks, Crosbie, Kim, Frenot, Yves, Hughes, Kevin A., Imura, Satoshi, Kiefer, Kate, Lebouvier, Marc, Raymond, Ben, Tsujimoto, Megumu, Ware, Chris, Van de Vijver, Bart, Bergstrom, Dana Michelle",2012,"Invasive alien species are among the primary causes of biodiversity change globally, with the risks thereof broadly understood for most regions of the world. They are similarly thought to be among the most significant conservation threats to Antarctica, especially as climate change proceeds in the region. However, no comprehensive, continent-wide evaluation of the risks to Antarctica posed by such species has been undertaken. Here we do so by sampling, identifying, and mapping the vascular plant propagules carried by all categories of visitors to Antarctica during the International Polar Year's first season (2007-2008) and assessing propagule establishment likelihood based on their identity and origins and on spatial variation in Antarctica's climate. For an evaluation of the situation in 2100, we use modeled climates based on the Intergovernmental Panel on Climate Change's Special Report on Emissions Scenarios Scenario A1B [Nakicenovic N, Swart R, eds (2000) Special Report on Emissions Scenarios: A Special Report of Working Group III of the Intergovernmental Panel on Climate Change (Cambridge University Press, Cambridge, UK)]. Visitors carrying seeds average 9.5 seeds per person, although as vectors, scientists carry greater propagule loads than tourists. Annual tourist numbers (similar to 33,054) are higher than those of scientists (similar to 7,085), thus tempering these differences in propagule load. Alien species establishment is currently most likely for the Western Antarctic Peninsula. Recent founder populations of several alien species in this area corroborate these findings. With climate change, risks will grow in the Antarctic Peninsula, Ross Sea, and East Antarctic coastal regions. Our evidence-based assessment demonstrates which parts of Antarctica are at growing risk from alien species that may become invasive and provides the means to mitigate this threat now and into the future as the continent's climate changes",,"Publication - Article, PeerReviewed",,,'Proceedings of the National Academy of Sciences'
Antarctic climate-diversity-invasion hypothesis,58110328,Seed dispersal characteristics to polar regions by means of visitors,10.1594/PANGAEA.808344,"Chown, Steven L, Huiskes, Ad H L, Gremmen, Niek J M, Lee, Jennifer E, Terauds, Aleks, Crosbie, Kim, Frenot, Yves, Hughes, Kevin A, Imura, Satoshi, Kiefer, Kate, Lebouvier, Marc, Raymond, Ben, Tsujimoto, Megumu, Ware, Chris, Van de Vijver, Bart, Bergstrom, Dana Michelle",2012,"Invasive alien species are among the primary causes of biodiversity change globally, with the risks thereof broadly understood for most regions of the world. They are similarly thought to be among the most significant conservation threats to Antarctica, especially as climate change proceeds in the region. However, no comprehensive, continent-wide evaluation of the risks to Antarctica posed by such species has been undertaken. Here we do so by sampling, identifying, and mapping the vascular plant propagules carried by all categories of visitors to Antarctica during the International Polar Year's first season (2007-2008) and assessing propagule establishment likelihood based on their identity and origins and on spatial variation in Antarctica's climate. For an evaluation of the situation in 2100, we use modeled climates based on the Intergovernmental Panel on Climate Change's Special Report on Emissions Scenarios Scenario A1B [Nakicenovic N, Swart R, eds (2000) Special Report on Emissions Scenarios: A Special Report of Working Group III of the Intergovernmental Panel on Climate Change (Cambridge University Press, Cambridge, UK)]. Visitors carrying seeds average 9.5 seeds per person, although as vectors, scientists carry greater propagule loads than tourists. Annual tourist numbers (~33,054) are higher than those of scientists (~7,085), thus tempering these differences in propagule load. Alien species establishment is currently most likely for the Western Antarctic Peninsula. Recent founder populations of several alien species in this area corroborate these findings. With climate change, risks will grow in the Antarctic Peninsula, Ross Sea, and East Antarctic coastal regions. Our evidence-based assessment demonstrates which parts of Antarctica are at growing risk from alien species that may become invasive and provides the means to mitigate this threat now and into the future as the continent's climate changes",,Dataset,International Polar Year (2007-2008); IPY,,PANGAEA
Antarctic climate-diversity-invasion hypothesis,511314256,Can classic biological invasion hypotheses be applied to reported cases of non-native terrestrial species in the Maritime Antarctic?,10.1017/S0954102022000037,"Pertierra, Luis R., Convey, Peter, Martinez, Pablo Ariel, Tejedo, Pablo, Benayas, Javier, Olalla-Tárraga, Miguel Ángel",2022,"Understanding the success factors underlying each step in the process of biological invasion provides a robust foundation upon which to develop appropriate biosecurity measures. Insights into the processes occurring can be gained through clarifying the circumstances applying to non-native species that have arrived, established and, in some cases, successfully spread in terrestrial Antarctica. To date, examples include a small number of vascular plants and a greater diversity of invertebrates (including Diptera, Collembola, Acari and Oligochaeta), which share features of pre-adaptation to the environmental stresses experienced in Antarctica. In this synthesis, we examine multiple classic invasion science hypotheses that are widely considered to have relevance in invasion ecology and assess their utility in understanding the different invasion histories so far documented in the continent. All of these existing hypotheses appear relevant to some degree in explaining invasion processes in Antarctica. They are also relevant in understanding failed invasions and identifying barriers to invasion. However, the limited number of cases currently available constrains the possibility of establishing patterns and processes. To conclude, we discuss several new and emerging confirmatory methods as relevant tools to test and compare these hypotheses given the availability of appropriate sample sizes in the future",,"Publication - Article, PeerReviewed",,,'Cambridge University Press (CUP)'
Antarctic climate-diversity-invasion hypothesis,378451,"Biological invasions in the Antarctic: extent, impacts and implications",10.1017/S1464793104006542,"Frenot, Yves, Chown, Steven L., Whinam, Jennie, Selkirk, Patricia M., Convey, Peter, Skotnicki, Mary, Bergstrom, Dana M.",2005,"Alien microbes, fungi, plants and animals occur on most of the sub-Antarctic islands and some parts of the Antarctic continent. These have arrived over approximately the last two centuries, coincident with human activity in the region. Introduction routes have varied, but are largely associated with movement of people and cargo in connection with industrial, national scientific program and tourist operations. The large majority of aliens are European in origin. They have both direct and indirect impacts on the functioning of species-poor Antarctic ecosystems, in particular including substantial loss of local biodiversity and changes to ecosystem processes. With rapid climate change occurring in some parts of Antarctica, elevated numbers of introductions and enhanced success of colonization by aliens are likely, with consequent increases in impacts on ecosystems. Mitigation measures that will substantially reduce the risk of introductions to Antarctica and the sub-Antarctic must focus on reducing propagule loads on humans, and their food, cargo, and transport vessels",,"Publication - Article, PeerReviewed",Ecology and Environment,,'Cambridge University Press (CUP)'
Antarctic climate-diversity-invasion hypothesis,539919654,Latitudinal patterns of biological invasions in marine ecosystems : a polar perspective,,"G Ruiz (9896852), Chad Hewitt (9803666)",2009,"Biological invasions in coastal ecosystems have occurred throughout Earth’s history, but the scale and tempo have increased greatly in recent time due to human-mediated dispersal. Available data suggest that a strong latitudinal pattern exists for such human introductions in coastal systems. The documented number of introduced species (with established, self-sustaining populations) is greatest in temperate regions and declines sharply at higher latitudes. This observed invasion pattern across latitudes may result from differences in (1) historical baseline knowledge, (2) propagule supply, (3) resistance to invasion, and (4) disturbance regime. To date, the relative importance of these mechanisms across geographic regions has not been evaluated, and each may be expected to change over time. Of particular interest and concern are the interactive effects of climate change and human activities on marine invasions at high latitudes. Shifts in invasion dynamics may be especially pronounced in the Northern Hemisphere, where current models predict not only an increase in sea surface temperatures but also a rapid reduction in sea ice in the Arctic. These environmental changes may greatly increase invasion opportunity at high northern latitudes due to shipping, mineral exploration, shoreline development, and other human responses",,"Text, Conference contribution","Environment policy, Expanding Knowledge in the Environmental Sciences, Environment Policy",,
Antarctic climate-diversity-invasion hypothesis,187716434,Antarctica: The final frontier for marine biological invasions.,10.17863/CAM.37077,"McCarthy, Arlie, Peck, Lloyd S, Hughes, Kevin A, Aldridge, David",2019,"Antarctica is experiencing significant ecological and environmental change, which may facilitate the establishment of non-native marine species. Non-native marine species will interact with other anthropogenic stressors affecting Antarctic ecosystems, such as climate change (warming, ocean acidification) and pollution, with irreversible ramifications for biodiversity and ecosystem services. We review current knowledge of non-native marine species in the Antarctic region, the physical and physiological factors that resist establishment of non-native marine species, changes to resistance under climate change, the role of legislation in limiting marine introductions, and the effect of increasing human activity on vectors and pathways of introduction. Evidence of non-native marine species is limited: just four marine non-native and one cryptogenic species that were likely introduced anthropogenically have been reported freely living in Antarctic or sub-Antarctic waters, but no established populations have been reported; an additional six species have been observed in pathways to Antarctica that are potentially at risk of becoming invasive. We present estimates of the intensity of ship activity across fishing, tourism and research sectors: there may be approximately 180 vessels and 500+ voyages in Antarctic waters annually. However, these estimates are necessarily speculative because relevant data are scarce. To facilitate well-informed policy and management, we make recommendations for future research into the likelihood of marine biological invasions in the Antarctic region.John Monash Foundation (Arlie McCarthy is a John Monash Scholar for 2017) Zoology Department, University of Cambridge (Arlie McCarthy is a recipient of a Claire Barnes Studentship) University of Melbourne (Arlie McCarthy received a W.E.J. Craig Travelling Scholarship",,Article,"Humans, Ecosystem, Biodiversity, Seawater, Hydrogen-Ion Concentration, Antarctic Regions",,Glob Chang Biol
Antarctic climate-diversity-invasion hypothesis,529699599,Global thermal niche models of two European grasses show high invasion risks in Antarctica,10.1111/gcb.13596,"Pertierra, Luis R., Aragón, Pedro, Shaw, Justine D., Bergstrom, Dana M., Terauds, Aleks, Olalla-Tárraga, Miguel Ángel",2017,"The two non-native grasses that have established long-term populations in Antarctica (Poa pratensis and Poa annua) were studied from a global multidimensional thermal niche perspective to address the biological invasion risk to Antarctica. These two species exhibit contrasting introduction histories and reproductive strategies and represent two referential case studies of biological invasion processes. We used a multistep process with a range of species distribution modelling techniques (ecological niche factor analysis, multidimensional envelopes, distance/entropy algorithms) together with a suite of thermoclimatic variables, to characterize the potential ranges of these species. Their native bioclimatic thermal envelopes in Eurasia, together with the different naturalized populations across continents, were compared next. The potential niche of P. pratensis was wider at the cold extremes; however, P. annua life history attributes enable it to be a more successful colonizer. We observe that particularly cold summers are a key aspect of the unique Antarctic environment. In consequence, ruderals such as P. annua can quickly expand under such harsh conditions, whereas the more stress-tolerant P. pratensis endures and persist through steady growth. Compiled data on human pressure at the Antarctic Peninsula allowed us to provide site-specific biosecurity risk indicators. We conclude that several areas across the region are vulnerable to invasions from these and other similar species. This can only be visualized in species distribution models (SDMs) when accounting for founder populations that reveal nonanalogous conditions. Results reinforce the need for strict management practices to minimize introductions. Furthermore, our novel set of temperature-based bioclimatic GIS layers for ice-free terrestrial Antarctica provide a mechanism for regional and global species distribution models to be built for other potentially invasive species.</p",,Contribution to Journal,"biosecurity protocols, non-native species management, nonanalogous climate, Poaceae, species distribution models",,Wiley-Blackwell Publishing Ltd
