Publisher,Total Count
Unknown,300
'Wiley',48
'Elsevier BV',41
'Springer Science and Business Media LLC',39
'Public Library of Science (PLoS)',10
"eScholarship, University of California",8
HAL CCSD,8
'The Royal Society',8
Elsevier,7
'American Geophysical Union (AGU)',6
Data Archiving and Networked Services (DANS),6
'Oxford University Press (OUP)',5
Public Library of Science (PLoS),5
'Frontiers Media SA',5
MDPI AG,5
Azim Premji University,5
'Institute of Electrical and Electronics Engineers (IEEE)',5
'Hindawi Limited',5
'Proceedings of the National Academy of Sciences',4
Pensoft Publishers,4
'Annual Reviews',4
'Informa UK Limited',4
'Cambridge University Press (CUP)',4
'American Physical Society (APS)',4
'MDPI AG',3
'American Physiological Society',3
DigitalCommons@University of Nebraska - Lincoln,3
Springer,3
'SAGE Publications',3
Springer Verlag,3
'Springer Fachmedien Wiesbaden GmbH',3
'University of Chicago Press',3
'PERSEE Program',2
Blackwell Publishing Ltd,2
U.S. Naval War College Digital Commons,2
'Newinera Publisher',2
Ecological Society of America,2
'Akademiai Kiado Zrt.',2
'Victoria University of Wellington Library',2
EDP Sciences,2
Scholarship @ Claremont,2
USMA Digital Commons,2
IEEEAM - WSEAS Press,2
Digital Commons @ University of South Florida,2
Wiley-Blackwell Publishing Ltd,2
Antarctica New Zealand,2
Waseda University,2
XP Math,2
'University of Waterloo',1
ODU Digital Commons,1
University of Wisconsin--Madison,1
DigitalCommons@IMSA,1
"Karlstads universitet, Institutionen för språk, litteratur och interkultur",1
'Bernoulli Society for Mathematical Statistics and Probability',1
Scholarship @ GEORGETOWN LAW,1
'University of Huddersfield Press',1
Morgan Kaufmann,1
'Logos Verlag Berlin',1
Elsevier B.V.,1
"Austin, TX : Cognitive Science Society",1
Elsevier BV,1
Northern Illinois University,1
Erasmus Research Institute of Management,1
Univ. Malaga,1
科技导报,1
Peer Community In/Centre Mersenne,1
AGU,1
Stem Guitar Project,1
UNIVERSITAS MUHAMMADIYAH SURABAYA,1
Uniwersytet Warszawski. Wydział Geografii i Studiów Regionalnych,1
Island Magazine Inc.,1
"'Ubiquity Press, Ltd.'",1
The Maritime Commons: Digital Repository of the World Maritime University,1
神奈川大学　国際経営研究所,1
WILEY,1
Institut Menorquí d'Estudis,1
Language Science Press,1
'American Association for the Advancement of Science (AAAS)',1
UNF Digital Commons,1
Kagoshima University,1
"Center for East Asian Studies, University of Kansas",1
Linköping,1
Barcaray International,1
'University of Otago Library',1
'Edizioni Minerva Medica',1
DigitalCommons@UMaine,1
