Publisher,Total Count
Unknown,309
'Wiley',52
'Springer Science and Business Media LLC',49
'Elsevier BV',37
'Public Library of Science (PLoS)',25
"eScholarship, University of California",16
HAL CCSD,9
MDPI AG,8
'Oxford University Press (OUP)',7
'The Royal Society',6
'Frontiers Media SA',5
Pensoft Publishers,5
'Institute of Electrical and Electronics Engineers (IEEE)',5
'Informa UK Limited',4
'MDPI AG',4
Elsevier,4
Azim Premji University,4
'Akademiai Kiado Zrt.',4
'Annual Reviews',4
'Proceedings of the National Academy of Sciences',3
Ecological Society of America,3
'SAGE Publications',3
Wiley,3
U.S. Naval War College Digital Commons,3
Springer,3
"Defence Scientific Information & Documentation Centre (DESIDOC), DRDO, India",2
USMA Digital Commons,2
Elsevier Science,2
University of British Columbia,2
ScholarWorks@UTEP,2
'American Geophysical Union (AGU)',2
'University of Chicago Press',2
'American Association for the Advancement of Science (AAAS)',2
'Newinera Publisher',2
'Springer Fachmedien Wiesbaden GmbH',2
Digital Commons @ University of South Florida,2
Wiley-Blackwell Publishing Ltd,2
DigitalCommons@University of Nebraska - Lincoln,2
Antarctica New Zealand,2
XP Math,2
'American Physiological Society',2
'Ovid Technologies (Wolters Kluwer Health)',2
'Cambridge University Press (CUP)',2
"'Ubiquity Press, Ltd.'",1
Peer Community In/Centre Mersenne,1
The Maritime Commons: Digital Repository of the World Maritime University,1
Language Science Press,1
三重大学人文学部文化学科,1
Uniwersytet Warszawski. Wydział Geografii i Studiów Regionalnych,1
BearWorks,1
"НТУ """"ХПІ""""",1
'Bernoulli Society for Mathematical Statistics and Probability',1
Swinburne Commons,1
Uniwersytet Łódzki. Wydawnictwo Uniwersytetu Łódzkiego,1
Wolfram Demonstration Project,1
Island Magazine Inc.,1
'American Society for Microbiology',1
'Victoria University of Wellington Library',1
"Center for East Asian Studies, University of Kansas",1
DigitalCommons@IMSA,1
포항공과대학교,1
Production and hosting by Elsevier B.V.,1
'Columbia University Libraries/Information Services',1
"Karlstads universitet, Institutionen för språk, litteratur och interkultur",1
Polska Akademia Nauk. Instytut Paleobiologii PAN,1
'Pisa University Press',1
The Authors. Published by Elsevier B.V.,1
DigitalCommons@UMaine,1
'AIP Publishing',1
Digital Commons @ VCCS,1
CEUR-WS,1
University of Southern California. Libraries,1
'Universitat Politecnica de Valencia',1
Hindawi Limited,1
Hindawi,1
Linköping,1
'Genetics Society of America',1
"Malmö universitet, Malmö universitetsbibliotek",1
"NIScPR-CSIR, India",1
MGIMO University Press,1
Hurst & Co Ltd,1
Barcaray International,1
Alexander Galushkin Publishing House,1
Malmö universitet/Kultur och samhälle,1
'Indonesian Society of Internal Medicine Bali',1
'American College of Chest Physicians',1
IEEE Computer Society,1
Circulation: Genomic and Precision Medicine,1
Lowy Institute for International Policy,1
NSUWorks,1
SAGE Publishing,1
Ciências da Saúde,1
Université de Genève,1
'University of Otago Library',1
Northern Illinois University,1
Digital Commons @ RIC,1
Osnabrück,1
'Sociological Research Online',1
'University of Waterloo',1
Digital Commons @ Texas A&M University-San Antonio,1
ODU Digital Commons,1
Wukari International Studies Group,1
Published by Elsevier B.V.,1
'Harvard University Botany Libraries',1
Wiley-Blackwell,1
The Chinese Society of Theoretical and Applied Mechanics. Published by Elsevier Ltd.,1
Nature Portfolio,1
'Jyvaskyla University Library',1
ScholarWorks@UMass Amherst,1
e-Publications@Marquette,1
INFORMA HEALTHCARE,1
Umeå : Umeå universitet,1
'Queensland University of Technology',1
Scholars\u27 Mine,1
Wiley on behalf of the Cambridge Philosophical Society,1
'Pensoft Publishers',1
Journal of Pharma and Drug Regulatory Affairs (e-ISSN:2582-3043),1
University of New South Wales. Biotechnology & Biomolecular Sciences,1
'Academic Journals',1
EDP Sciences,1
EngagedScholarship@CSU,1
Saint Mary\u27s Digital Commons,1
Nordic Ecological Society,1
'American Institute of Mathematical Sciences (AIMS)',1
place:BOCA RATON,1
PANGAEA,1
Cambridge University Press,1
Glob Chang Biol,1
'CABI Publishing',1
University of Canterbury,1
National Academy of Sciences,1
'Cold Spring Harbor Laboratory',1
American Association for the Advancement of Science,1
"'State Institution National Antarctic Scientific Center, Ministry of Education and Science of Ukraine'",1
Frontiers in Environmental Science,1
Fachbereich 02: Biologie/Chemie (FB 02),1
place:Ferrara,1
Nature Publishing Group,1
place:London,1
'Hindawi Limited',1
IEEE/LEOS,1
Pergamon Press (United Kingdom),1
University of Toronto Scarborough,1
'Mohr Siebeck',1
'American Physical Society (APS)',1
'Academy of Traumatology',1
Washington University Open Scholarship,1
Public Library of Science (PLOS),1
'Defence Scientific Information and Documentation Centre',1
Institute of Electrical and Electronics Engineers,1
Haupt Verlag,1
NULRS,1
'SPIE-Intl Soc Optical Eng',1
Wiley-ISTE,1
John Wiley & Sons,1
"Monterey, California.  Naval Postgraduate School",1
'IOP Publishing',1
Elsevier Ltd.,1
PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,1
Cell Press (Elsevier),1
Springer Verlag,1
University of Toronto,1
AIS Electronic Library (AISeL),1
Institute of Electrical and Electronics Engineers Inc.,1
Animo Repository,1
'Walter de Gruyter GmbH',1
'Organisation for Economic Co-Operation and Development  (OECD)',1
Editorial office of Computer Science,1
Digital Commons @ Montana Tech,1
'Association for Information Systems',1
Hindawi-Wiley,1
PLoS ONe,1
'Canadian Science Publishing',1
'Information Bulletin on Variable Stars (IBVS)',1
UNF Digital Commons,1
